date,port,congestion_score,avg_queue_length_vessels,avg_wait_hours,is_synthetic,month,day_of_week,is_monsoon_season
2024-09-11,Los Angeles,0.447,4,51.0,True,9,2,1
2024-09-12,Los Angeles,0.5324,5,58.8,True,9,3,1
2024-09-13,Los Angeles,0.4192,5,45.7,True,9,4,1
2024-09-14,Los Angeles,0.5324,4,50.8,True,9,5,1
2024-09-15,Los Angeles,0.5606,6,63.0,True,9,6,1
2024-09-16,Los Angeles,0.6649,7,71.4,True,9,0,1
2024-09-17,Los Angeles,0.541,6,63.2,True,9,1,1
2024-09-18,Los Angeles,0.6177,4,58.3,True,9,2,1
2024-09-19,Los Angeles,0.563,3,34.2,True,9,3,1
2024-09-20,Los Angeles,0.7421,8,93.3,True,9,4,1
2024-09-21,Los Angeles,0.4403,4,38.5,True,9,5,1
2024-09-22,Los Angeles,0.6706,5,66.2,True,9,6,1
2024-09-23,Los Angeles,0.5141,4,58.3,True,9,0,1
2024-09-24,Los Angeles,0.5648,4,35.3,True,9,1,1
2024-09-25,Los Angeles,0.5832,5,65.0,True,9,2,1
2024-09-26,Los Angeles,0.6487,7,62.8,True,9,3,1
2024-09-27,Los Angeles,0.8703,8,97.2,True,9,4,1
2024-09-28,Los Angeles,0.5824,4,45.6,True,9,5,1
2024-09-29,Los Angeles,0.6964,5,56.4,True,9,6,1
2024-09-30,Los Angeles,0.699,6,57.0,True,9,0,1
2024-10-01,Los Angeles,0.5708,4,58.4,True,10,1,0
2024-10-02,Los Angeles,0.3222,0,19.1,True,10,2,0
2024-10-03,Los Angeles,0.5485,5,60.1,True,10,3,0
2024-10-04,Los Angeles,0.4677,7,72.6,True,10,4,0
2024-10-05,Los Angeles,0.4128,1,28.6,True,10,5,0
2024-10-06,Los Angeles,0.2599,1,19.3,True,10,6,0
2024-10-07,Los Angeles,0.5455,5,52.7,True,10,0,0
2024-10-08,Los Angeles,0.541,6,54.2,True,10,1,0
2024-10-09,Los Angeles,0.4359,4,36.4,True,10,2,0
2024-10-10,Los Angeles,0.5076,6,60.8,True,10,3,0
