date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-01-01,0.0,17.3,Paradip
2021-01-02,0.0,14.6,Paradip
2021-01-03,0.0,16.6,Paradip
2021-01-04,0.0,13.7,Paradip
2021-01-05,0.0,13.6,Paradip
2021-01-06,0.0,10.2,Paradip
2021-01-07,0.0,9.8,Paradip
2021-01-08,0.0,14.0,Paradip
2021-01-09,0.0,11.7,Paradip
2021-01-10,0.0,11.6,Paradip
2021-01-11,0.0,11.2,Paradip
2021-01-12,0.0,13.8,Paradip
2021-01-13,1.0,17.2,Paradip
2021-01-14,0.0,18.6,Paradip
2021-01-15,0.1,13.6,Paradip
2021-01-16,0.0,13.7,Paradip
2021-01-17,0.0,18.9,Paradip
2021-01-18,0.0,11.4,Paradip
2021-01-19,0.0,19.6,Paradip
2021-01-20,0.0,21.6,Paradip
2021-01-21,0.0,19.4,Paradip
2021-01-22,0.0,12.4,Paradip
2021-01-23,0.0,15.0,Paradip
2021-01-24,0.0,13.8,Paradip
2021-01-25,0.4,16.6,Paradip
2021-01-26,1.4,18.7,Paradip
2021-01-27,0.1,17.9,Paradip
2021-01-28,0.0,16.8,Paradip
2021-01-29,0.0,14.1,Paradip
2021-01-30,0.0,18.9,Paradip
2021-01-31,0.1,20.7,Paradip
2021-02-01,0.0,15.4,Paradip
2021-02-02,0.0,13.7,Paradip
2021-02-03,0.0,14.2,Paradip
2021-02-04,0.0,12.5,Paradip
2021-02-05,0.0,10.1,Paradip
2021-02-06,0.0,13.2,Paradip
2021-02-07,0.0,18.9,Paradip
2021-02-08,0.0,17.0,Paradip
2021-02-09,0.0,11.0,Paradip
2021-02-10,0.0,15.5,Paradip
2021-02-11,0.0,16.7,Paradip
2021-02-12,0.0,15.6,Paradip
2021-02-13,0.0,18.0,Paradip
2021-02-14,0.0,20.0,Paradip
2021-02-15,0.0,16.2,Paradip
2021-02-16,0.0,14.6,Paradip
2021-02-17,0.0,16.5,Paradip
2021-02-18,0.0,15.5,Paradip
2021-02-19,0.0,17.7,Paradip
2021-02-20,0.8,16.7,Paradip
2021-02-21,0.0,15.9,Paradip
2021-02-22,0.0,16.0,Paradip
2021-02-23,0.0,20.2,Paradip
2021-02-24,0.0,13.5,Paradip
2021-02-25,0.0,17.6,Paradip
2021-02-26,0.0,22.9,Paradip
2021-02-27,0.0,17.5,Paradip
2021-02-28,0.0,20.5,Paradip
2021-03-01,0.0,23.7,Paradip
2021-03-02,0.0,20.5,Paradip
2021-03-03,0.0,18.1,Paradip
2021-03-04,0.0,16.4,Paradip
2021-03-05,0.0,26.7,Paradip
2021-03-06,0.0,24.4,Paradip
2021-03-07,0.0,17.7,Paradip
2021-03-08,0.0,21.9,Paradip
2021-03-09,0.0,24.1,Paradip
2021-03-10,0.0,27.3,Paradip
2021-03-11,0.0,22.6,Paradip
2021-03-12,0.0,18.5,Paradip
2021-03-13,0.0,16.4,Paradip
2021-03-14,0.1,14.7,Paradip
2021-03-15,0.0,21.3,Paradip
2021-03-16,0.0,17.7,Paradip
2021-03-17,0.0,18.1,Paradip
2021-03-18,0.0,20.2,Paradip
2021-03-19,0.0,20.5,Paradip
2021-03-20,0.0,15.5,Paradip
2021-03-21,0.0,13.0,Paradip
2021-03-22,0.0,15.2,Paradip
2021-03-23,0.0,12.2,Paradip
2021-03-24,0.0,13.0,Paradip
2021-03-25,0.0,18.5,Paradip
2021-03-26,0.0,15.1,Paradip
2021-03-27,0.0,13.2,Paradip
2021-03-28,0.0,24.4,Paradip
2021-03-29,0.0,26.0,Paradip
2021-03-30,0.0,30.4,Paradip
2021-03-31,0.0,28.3,Paradip
2021-04-01,0.0,24.2,Paradip
2021-04-02,0.0,23.1,Paradip
2021-04-03,0.0,20.2,Paradip
2021-04-04,0.0,14.6,Paradip
2021-04-05,0.0,15.4,Paradip
2021-04-06,0.0,22.5,Paradip
2021-04-07,0.0,25.4,Paradip
2021-04-08,0.0,31.2,Paradip
2021-04-09,0.0,23.6,Paradip
2021-04-10,0.0,19.6,Paradip
2021-04-11,0.0,21.3,Paradip
2021-04-12,0.0,19.9,Paradip
2021-04-13,0.0,20.8,Paradip
2021-04-14,0.0,22.6,Paradip
2021-04-15,0.0,26.3,Paradip
2021-04-16,0.0,21.2,Paradip
2021-04-17,0.0,22.5,Paradip
2021-04-18,0.0,25.2,Paradip
2021-04-19,0.1,24.4,Paradip
2021-04-20,0.0,27.0,Paradip
2021-04-21,0.0,26.7,Paradip
2021-04-22,0.0,26.3,Paradip
2021-04-23,0.0,17.0,Paradip
2021-04-24,0.0,20.6,Paradip
2021-04-25,0.0,23.1,Paradip
2021-04-26,0.0,27.4,Paradip
2021-04-27,0.0,27.0,Paradip
2021-04-28,0.0,24.3,Paradip
2021-04-29,0.0,21.4,Paradip
2021-04-30,0.1,24.5,Paradip
2021-05-01,0.0,27.6,Paradip
2021-05-02,0.0,27.3,Paradip
2021-05-03,0.0,20.6,Paradip
2021-05-04,11.9,19.3,Paradip
2021-05-05,5.0,20.9,Paradip
2021-05-06,0.0,20.5,Paradip
2021-05-07,0.0,22.7,Paradip
2021-05-08,0.7,19.1,Paradip
2021-05-09,0.0,22.1,Paradip
2021-05-10,1.4,24.4,Paradip
2021-05-11,2.4,24.7,Paradip
2021-05-12,0.4,24.7,Paradip
2021-05-13,2.7,26.2,Paradip
2021-05-14,0.0,28.7,Paradip
2021-05-15,0.0,26.2,Paradip
2021-05-16,0.1,23.6,Paradip
2021-05-17,0.0,25.7,Paradip
2021-05-18,0.0,28.6,Paradip
2021-05-19,0.0,27.6,Paradip
2021-05-20,0.5,28.1,Paradip
2021-05-21,3.7,25.0,Paradip
2021-05-22,1.1,15.0,Paradip
2021-05-23,0.4,12.6,Paradip
2021-05-24,48.1,30.7,Paradip
2021-05-25,97.5,54.0,Paradip
2021-05-26,111.5,48.7,Paradip
2021-05-27,0.4,32.4,Paradip
2021-05-28,0.6,26.9,Paradip
2021-05-29,0.1,20.8,Paradip
2021-05-30,0.7,24.5,Paradip
2021-05-31,0.3,28.3,Paradip
2021-06-01,0.2,23.9,Paradip
2021-06-02,6.4,26.7,Paradip
2021-06-03,1.0,20.2,Paradip
2021-06-04,2.5,25.6,Paradip
2021-06-05,0.0,27.5,Paradip
2021-06-06,0.0,27.2,Paradip
2021-06-07,0.0,27.4,Paradip
2021-06-08,0.0,27.3,Paradip
2021-06-09,7.9,21.4,Paradip
2021-06-10,29.2,22.7,Paradip
2021-06-11,10.3,15.5,Paradip
2021-06-12,24.6,16.3,Paradip
2021-06-13,39.8,20.3,Paradip
2021-06-14,20.2,22.0,Paradip
2021-06-15,1.1,22.7,Paradip
2021-06-16,5.5,20.2,Paradip
2021-06-17,16.1,22.1,Paradip
2021-06-18,11.9,24.9,Paradip
2021-06-19,18.5,27.0,Paradip
2021-06-20,3.9,21.3,Paradip
2021-06-21,0.8,14.8,Paradip
2021-06-22,21.0,16.3,Paradip
2021-06-23,14.0,26.6,Paradip
2021-06-24,7.3,23.4,Paradip
2021-06-25,3.0,19.6,Paradip
2021-06-26,1.1,19.8,Paradip
2021-06-27,7.2,24.3,Paradip
2021-06-28,1.9,26.7,Paradip
2021-06-29,1.0,28.7,Paradip
2021-06-30,0.7,29.4,Paradip
2021-07-01,2.4,32.4,Paradip
2021-07-02,17.2,22.1,Paradip
2021-07-03,7.6,18.8,Paradip
2021-07-04,15.8,17.8,Paradip
2021-07-05,4.3,18.2,Paradip
2021-07-06,3.9,20.5,Paradip
2021-07-07,14.0,22.8,Paradip
2021-07-08,14.7,20.6,Paradip
2021-07-09,3.5,17.2,Paradip
2021-07-10,0.4,14.5,Paradip
2021-07-11,8.6,20.3,Paradip
2021-07-12,3.1,20.4,Paradip
2021-07-13,8.0,27.3,Paradip
2021-07-14,8.5,23.1,Paradip
2021-07-15,2.0,20.3,Paradip
2021-07-16,1.7,18.6,Paradip
2021-07-17,0.3,20.4,Paradip
2021-07-18,0.9,26.5,Paradip
2021-07-19,2.1,22.9,Paradip
2021-07-20,10.0,16.9,Paradip
2021-07-21,46.7,13.8,Paradip
2021-07-22,21.7,14.7,Paradip
2021-07-23,14.0,27.1,Paradip
2021-07-24,1.4,26.8,Paradip
2021-07-25,4.4,21.1,Paradip
2021-07-26,0.4,22.4,Paradip
2021-07-27,4.8,21.3,Paradip
2021-07-28,8.0,26.3,Paradip
2021-07-29,30.9,29.9,Paradip
2021-07-30,14.2,29.5,Paradip
2021-07-31,4.5,25.0,Paradip
2021-08-01,1.9,21.5,Paradip
2021-08-02,0.6,20.6,Paradip
2021-08-03,1.1,16.9,Paradip
2021-08-04,2.1,26.4,Paradip
2021-08-05,8.5,16.4,Paradip
2021-08-06,3.5,19.3,Paradip
2021-08-07,3.2,20.0,Paradip
2021-08-08,10.7,26.6,Paradip
2021-08-09,1.8,25.6,Paradip
2021-08-10,5.8,25.9,Paradip
2021-08-11,1.0,18.5,Paradip
2021-08-12,10.9,18.3,Paradip
2021-08-13,4.2,15.2,Paradip
2021-08-14,4.9,14.8,Paradip
2021-08-15,1.6,14.6,Paradip
2021-08-16,10.5,17.0,Paradip
2021-08-17,14.5,25.9,Paradip
2021-08-18,14.0,30.0,Paradip
2021-08-19,13.1,26.9,Paradip
2021-08-20,9.3,24.0,Paradip
2021-08-21,2.3,20.2,Paradip
2021-08-22,1.5,23.3,Paradip
2021-08-23,0.3,26.3,Paradip
2021-08-24,5.0,22.5,Paradip
2021-08-25,6.1,21.0,Paradip
2021-08-26,8.6,14.6,Paradip
2021-08-27,23.7,10.4,Paradip
2021-08-28,5.9,17.9,Paradip
2021-08-29,3.2,22.4,Paradip
2021-08-30,7.3,17.7,Paradip
2021-08-31,6.7,20.5,Paradip
2021-09-01,1.2,15.6,Paradip
2021-09-02,0.4,13.5,Paradip
2021-09-03,2.4,13.8,Paradip
2021-09-04,6.5,11.3,Paradip
2021-09-05,14.4,17.7,Paradip
2021-09-06,15.1,24.4,Paradip
2021-09-07,20.4,28.1,Paradip
2021-09-08,19.9,20.4,Paradip
2021-09-09,11.7,16.3,Paradip
2021-09-10,4.4,18.9,Paradip
2021-09-11,33.4,15.3,Paradip
2021-09-12,41.1,26.9,Paradip
2021-09-13,74.1,43.1,Paradip
2021-09-14,40.2,37.6,Paradip
2021-09-15,14.7,23.7,Paradip
2021-09-16,7.1,17.2,Paradip
2021-09-17,3.0,13.7,Paradip
2021-09-18,4.9,14.5,Paradip
2021-09-19,17.9,12.2,Paradip
2021-09-20,17.2,13.3,Paradip
2021-09-21,20.4,19.1,Paradip
2021-09-22,8.1,19.8,Paradip
2021-09-23,5.7,20.7,Paradip
2021-09-24,1.6,11.7,Paradip
2021-09-25,2.3,15.3,Paradip
2021-09-26,19.8,33.0,Paradip
2021-09-27,6.1,18.5,Paradip
2021-09-28,4.9,12.9,Paradip
2021-09-29,3.2,21.7,Paradip
2021-09-30,0.7,16.3,Paradip
2021-10-01,1.3,17.4,Paradip
2021-10-02,1.2,18.9,Paradip
2021-10-03,0.7,23.2,Paradip
2021-10-04,1.6,19.2,Paradip
2021-10-05,0.3,13.2,Paradip
2021-10-06,0.7,10.5,Paradip
2021-10-07,1.0,13.8,Paradip
2021-10-08,1.3,12.6,Paradip
2021-10-09,2.2,8.0,Paradip
2021-10-10,1.0,10.9,Paradip
2021-10-11,2.5,13.8,Paradip
2021-10-12,1.1,8.7,Paradip
2021-10-13,0.2,17.2,Paradip
2021-10-14,19.6,20.4,Paradip
2021-10-15,7.9,19.4,Paradip
2021-10-16,14.3,14.4,Paradip
2021-10-17,18.3,13.7,Paradip
2021-10-18,25.2,22.7,Paradip
2021-10-19,17.0,22.8,Paradip
2021-10-20,18.8,13.6,Paradip
2021-10-21,0.0,13.7,Paradip
2021-10-22,0.0,12.2,Paradip
2021-10-23,0.0,10.3,Paradip
2021-10-24,0.0,9.4,Paradip
2021-10-25,0.0,10.8,Paradip
2021-10-26,0.5,17.6,Paradip
2021-10-27,4.9,25.1,Paradip
2021-10-28,17.8,25.3,Paradip
2021-10-29,15.6,15.7,Paradip
2021-10-30,0.0,17.8,Paradip
2021-10-31,0.0,16.3,Paradip
2021-11-01,0.0,16.9,Paradip
2021-11-02,0.2,17.7,Paradip
2021-11-03,1.6,16.4,Paradip
2021-11-04,0.0,14.6,Paradip
2021-11-05,0.0,14.8,Paradip
2021-11-06,0.0,14.5,Paradip
2021-11-07,0.0,15.0,Paradip
2021-11-08,0.0,17.6,Paradip
2021-11-09,0.0,17.6,Paradip
2021-11-10,0.0,18.6,Paradip
2021-11-11,0.2,20.7,Paradip
2021-11-12,20.2,13.8,Paradip
2021-11-13,8.6,14.2,Paradip
2021-11-14,6.9,9.9,Paradip
2021-11-15,8.6,10.1,Paradip
2021-11-16,0.8,21.2,Paradip
2021-11-17,0.0,24.2,Paradip
2021-11-18,0.0,19.5,Paradip
2021-11-19,0.0,18.5,Paradip
2021-11-20,0.0,13.9,Paradip
2021-11-21,0.3,10.3,Paradip
2021-11-22,10.1,14.6,Paradip
2021-11-23,7.9,9.2,Paradip
2021-11-24,1.0,16.4,Paradip
2021-11-25,0.4,12.9,Paradip
2021-11-26,0.2,12.9,Paradip
2021-11-27,0.1,16.3,Paradip
2021-11-28,0.0,16.4,Paradip
2021-11-29,0.0,15.1,Paradip
2021-11-30,0.0,15.3,Paradip
2021-12-01,0.0,16.6,Paradip
2021-12-02,0.0,14.7,Paradip
2021-12-03,15.6,21.7,Paradip
2021-12-04,89.9,31.5,Paradip
2021-12-05,52.0,23.5,Paradip
2021-12-06,0.1,15.3,Paradip
2021-12-07,0.0,17.9,Paradip
2021-12-08,0.0,22.8,Paradip
2021-12-09,34.3,20.1,Paradip
2021-12-10,0.0,12.2,Paradip
2021-12-11,0.4,15.4,Paradip
2021-12-12,0.1,19.9,Paradip
2021-12-13,0.0,16.1,Paradip
2021-12-14,0.0,14.0,Paradip
2021-12-15,0.0,10.6,Paradip
2021-12-16,0.0,15.0,Paradip
2021-12-17,0.0,15.8,Paradip
2021-12-18,0.0,16.1,Paradip
2021-12-19,0.0,20.9,Paradip
2021-12-20,0.0,17.9,Paradip
2021-12-21,0.0,11.5,Paradip
2021-12-22,0.0,11.0,Paradip
2021-12-23,0.0,8.9,Paradip
2021-12-24,0.0,9.2,Paradip
2021-12-25,0.0,8.6,Paradip
2021-12-26,0.0,10.7,Paradip
2021-12-27,3.2,7.9,Paradip
2021-12-28,0.0,11.3,Paradip
2021-12-29,0.0,15.5,Paradip
2021-12-30,0.0,20.7,Paradip
2021-12-31,0.0,23.0,Paradip
2022-01-01,0.0,15.0,Paradip
2022-01-02,0.0,15.9,Paradip
2022-01-03,0.0,16.6,Paradip
2022-01-04,0.0,14.8,Paradip
2022-01-05,0.0,11.6,Paradip
2022-01-06,0.0,9.0,Paradip
2022-01-07,0.0,13.5,Paradip
2022-01-08,0.0,11.4,Paradip
2022-01-09,0.0,8.7,Paradip
2022-01-10,0.0,8.2,Paradip
2022-01-11,0.0,12.6,Paradip
2022-01-12,0.6,14.2,Paradip
2022-01-13,5.1,14.5,Paradip
2022-01-14,9.1,21.5,Paradip
2022-01-15,0.0,21.5,Paradip
2022-01-16,0.0,21.7,Paradip
2022-01-17,0.0,17.3,Paradip
2022-01-18,0.0,14.4,Paradip
2022-01-19,0.0,11.5,Paradip
2022-01-20,0.0,11.6,Paradip
2022-01-21,2.4,13.0,Paradip
2022-01-22,0.6,11.6,Paradip
2022-01-23,0.8,14.1,Paradip
2022-01-24,3.4,14.8,Paradip
2022-01-25,0.8,12.1,Paradip
2022-01-26,2.7,12.9,Paradip
2022-01-27,0.1,19.2,Paradip
2022-01-28,0.0,16.1,Paradip
2022-01-29,0.0,13.0,Paradip
2022-01-30,0.0,11.3,Paradip
2022-01-31,0.0,20.2,Paradip
2022-02-01,0.0,23.9,Paradip
2022-02-02,0.0,17.8,Paradip
2022-02-03,0.0,20.6,Paradip
2022-02-04,14.6,32.5,Paradip
2022-02-05,0.1,12.3,Paradip
2022-02-06,0.0,12.4,Paradip
2022-02-07,0.0,14.2,Paradip
2022-02-08,0.0,15.0,Paradip
2022-02-09,0.0,14.0,Paradip
2022-02-10,0.1,16.9,Paradip
2022-02-11,0.0,19.6,Paradip
