date,bdi_index,fuel in usd,congestion_score,freight_rate_usd_per_t,bdi_lag_1,bdi_lag_7,bdi_roll_mean_7,bdi_roll_std_7,month,dayofweek
01-01-2016,482.27,310.01,0.2,20.39,,,,,1,4
02-01-2016,468.64,309.39,0.21,20.26,482.27,,,,1,5
03-01-2016,467.13,309.44,0.25,20.37,468.64,,,,1,6
04-01-2016,466.25,303.3,0.18,20.06,467.13,,,,1,0
05-01-2016,444.13,304.61,0.14,19.71,466.25,,,,1,1
06-01-2016,436.5,300.79,0.21,19.78,444.13,,,,1,2
07-01-2016,443.07,302.31,0.15,19.7,436.5,,458.2843,16.9835,1,3
08-01-2016,429.29,298.21,0.17,19.54,443.07,482.27,450.7157,16.3044,1,4
09-01-2016,412.7,298.08,0.18,19.39,429.29,468.64,442.7243,19.4588,1,5
10-01-2016,413.14,295.4,0.18,19.35,412.7,467.13,435.0114,18.8638,1,6
11-01-2016,398.87,298.05,0.2,19.29,413.14,466.25,425.3857,17.4012,1,0
12-01-2016,392.16,297.3,0.16,19.08,398.87,444.13,417.9614,19.077,1,1
13-01-2016,390.58,293.5,0.17,19.04,392.16,436.5,411.4014,19.5295,1,2
14-01-2016,369.3,292.95,0.18,18.83,390.58,443.07,400.8629,19.4962,1,3
15-01-2016,364.56,288.32,0.18,18.71,369.3,429.29,391.6157,19.113,1,4
16-01-2016,366.43,289.87,0.18,18.75,364.56,412.7,385.0057,18.6,1,5
17-01-2016,357.67,289.35,0.18,18.65,366.43,413.14,377.0814,16.2886,1,6
18-01-2016,360.66,294.44,0.19,18.78,357.67,398.87,371.6229,14.0134,1,0
19-01-2016,347.37,284.79,0.18,18.47,360.66,392.16,365.2243,13.2796,1,1
20-01-2016,339.0,289.7,0.18,18.44,347.37,390.58,357.8557,10.9759,1,2
21-01-2016,351.8,287.64,0.12,18.38,339.0,369.3,355.3557,9.8723,1,3
22-01-2016,336.5,285.07,0.17,18.32,351.8,364.56,351.3471,11.1289,1,4
23-01-2016,333.6,287.52,0.18,18.35,336.5,366.43,346.6571,10.6192,1,5
24-01-2016,320.31,283.51,0.18,18.14,333.6,357.67,341.32,13.2294,1,6
25-01-2016,321.32,282.72,0.14,18.02,320.31,360.66,335.7,11.9372,1,0
26-01-2016,321.12,280.94,0.14,18.0,321.32,347.37,331.95,11.7822,1,1
