date,port,congestion_score,avg_queue_length_vessels,avg_wait_hours,is_synthetic,proxy_source
2024-09-23,Shanghai,0.7097,8,70.3,True,Weather-Correlated Engine
2024-09-23,Singapore,0.7133,8,70.6,True,Weather-Correlated Engine
2024-09-23,Rotterdam,0.6515,5,64.5,True,Weather-Correlated Engine
2024-09-23,Los Angeles,0.5983,6,59.2,True,Weather-Correlated Engine
2024-09-24,Shanghai,0.7425,6,73.5,True,Weather-Correlated Engine
2024-09-24,Singapore,0.6713,7,66.5,True,Weather-Correlated Engine
2024-09-24,Rotterdam,0.6685,5,66.2,True,Weather-Correlated Engine
2024-09-24,Los Angeles,0.5847,6,57.9,True,Weather-Correlated Engine
2024-09-25,Shanghai,0.7399,6,73.3,True,Weather-Correlated Engine
2024-09-25,Singapore,0.6955,7,68.9,True,Weather-Correlated Engine
2024-09-25,Rotterdam,0.6863,7,67.9,True,Weather-Correlated Engine
2024-09-25,Los Angeles,0.5839,4,57.8,True,Weather-Correlated Engine
2024-09-26,Shanghai,0.7317,8,72.4,True,Weather-Correlated Engine
2024-09-26,Singapore,0.692,5,68.5,True,Weather-Correlated Engine
2024-09-26,Rotterdam,0.6772,6,67.0,True,Weather-Correlated Engine
2024-09-26,Los Angeles,0.5999,4,59.4,True,Weather-Correlated Engine
2024-09-27,Shanghai,0.7282,7,72.1,True,Weather-Correlated Engine
2024-09-27,Singapore,0.6905,7,68.4,True,Weather-Correlated Engine
2024-09-27,Rotterdam,0.6705,7,66.4,True,Weather-Correlated Engine
2024-09-27,Los Angeles,0.612,6,60.6,True,Weather-Correlated Engine
2024-09-28,Shanghai,0.7042,5,69.7,True,Weather-Correlated Engine
2024-09-28,Singapore,0.6708,5,66.4,True,Weather-Correlated Engine
2024-09-28,Rotterdam,0.6462,5,64.0,True,Weather-Correlated Engine
2024-09-28,Los Angeles,0.6257,6,61.9,True,Weather-Correlated Engine
2024-09-29,Shanghai,0.7247,7,71.7,True,Weather-Correlated Engine
2024-09-29,Singapore,0.6962,7,68.9,True,Weather-Correlated Engine
2024-09-29,Rotterdam,0.6803,7,67.4,True,Weather-Correlated Engine
2024-09-29,Los Angeles,0.6262,6,62.0,True,Weather-Correlated Engine
2024-09-30,Shanghai,0.7063,5,69.9,True,Weather-Correlated Engine
2024-09-30,Singapore,0.6781,6,67.1,True,Weather-Correlated Engine
2024-09-30,Rotterdam,0.6486,6,64.2,True,Weather-Correlated Engine
2024-09-30,Los Angeles,0.5916,6,58.6,True,Weather-Correlated Engine
2024-10-01,Shanghai,0.6479,6,64.1,True,Weather-Correlated Engine
2024-10-01,Singapore,0.6046,4,59.9,True,Weather-Correlated Engine
2024-10-01,Rotterdam,0.5444,5,53.9,True,Weather-Correlated Engine
2024-10-01,Los Angeles,0.4922,3,48.7,True,Weather-Correlated Engine
2024-10-02,Shanghai,0.6138,6,60.8,True,Weather-Correlated Engine
2024-10-02,Singapore,0.5934,5,58.7,True,Weather-Correlated Engine
