date,precipitation_sum_mm,wind_speed_max_kmh
01-01-2021,0,18.4
02-01-2021,0,15.2
03-01-2021,0,16.7
04-01-2021,0,16.8
05-01-2021,0,18
06-01-2021,0,15.2
07-01-2021,0,10.9
08-01-2021,0,12.5
09-01-2021,0,13.8
10-01-2021,0,11.4
11-01-2021,0,12.1
12-01-2021,0,13.2
13-01-2021,0,14.1
14-01-2021,0,16
15-01-2021,0.4,16.1
16-01-2021,0,16.3
17-01-2021,0.5,14.3
18-01-2021,1.3,15.6
19-01-2021,0,13.1
20-01-2021,0,16.5
21-01-2021,0,15.7
22-01-2021,0.3,15.8
23-01-2021,0,15.8
24-01-2021,0,16.4
25-01-2021,0,17
26-01-2021,0,16.9
27-01-2021,1.2,13.2
28-01-2021,1,15.2
29-01-2021,1.2,13
30-01-2021,0.3,12.7
31-01-2021,1.7,14.8
01-02-2021,0.5,16.2
02-02-2021,0,15.8
03-02-2021,0,17.8
04-02-2021,0,15.6
05-02-2021,0,16.5
06-02-2021,0,17.6
07-02-2021,0,19
08-02-2021,0,18.1
09-02-2021,0,16.2
10-02-2021,0,14.9
11-02-2021,0,16
12-02-2021,0,15.8
13-02-2021,0,17.6
14-02-2021,0,17.7
15-02-2021,0,18.6
16-02-2021,0,18.7
17-02-2021,0,15.6
18-02-2021,0,15.1
19-02-2021,0,17.2
20-02-2021,1.8,20.8
21-02-2021,0,16.9
22-02-2021,0,16.9
23-02-2021,0,15.4
24-02-2021,0,19.1
25-02-2021,0,18.9
26-02-2021,0,19.1
27-02-2021,0,17.7
28-02-2021,0,16.4
01-03-2021,0,19.4
02-03-2021,0,18.8
03-03-2021,0,15.3
04-03-2021,0,17.4
05-03-2021,0,22.7
06-03-2021,0,21.6
07-03-2021,0,17.7
08-03-2021,0,18
09-03-2021,0,18.8
10-03-2021,0,19.6
11-03-2021,0,20.7
12-03-2021,0,16.2
13-03-2021,0,15.3
14-03-2021,0,14.3
15-03-2021,0,13
16-03-2021,0,17.7
17-03-2021,0,17.9
18-03-2021,0,17.1
19-03-2021,0,18.7
20-03-2021,0,17.2
21-03-2021,0,14.4
22-03-2021,0,14.1
23-03-2021,0,17.2
24-03-2021,0,15.3
25-03-2021,0,15.6
26-03-2021,0,16.3
27-03-2021,0,15.5
28-03-2021,0,18.5
29-03-2021,0,23.9
30-03-2021,0,25.5
31-03-2021,0,29.7
01-04-2021,0,24.9
02-04-2021,0,20.6
03-04-2021,2.5,15.7
04-04-2021,0,16.9
05-04-2021,0.4,14.1
06-04-2021,0,18.7
07-04-2021,0,20.7
08-04-2021,0,22.6
09-04-2021,0,19
10-04-2021,0.4,17
11-04-2021,0,17.7
12-04-2021,0,17.6
13-04-2021,0.2,17.9
14-04-2021,0,18.7
15-04-2021,0,17.1
16-04-2021,0,15.9
17-04-2021,0,19.9
18-04-2021,0.1,20.5
19-04-2021,0,21
20-04-2021,0.7,20.4
21-04-2021,0,22.9
22-04-2021,0,20.8
23-04-2021,0.2,18.2
24-04-2021,0,14.8
25-04-2021,0,18.4
26-04-2021,0,21.4
27-04-2021,0,20.8
28-04-2021,0,20.9
29-04-2021,0.4,21.3
30-04-2021,0.7,18.4
01-05-2021,0.9,19.4
02-05-2021,0,20.3
03-05-2021,0.2,17.3
04-05-2021,0.2,19.9
05-05-2021,0.2,20.9
06-05-2021,0,20.1
07-05-2021,0,18.4
08-05-2021,0.1,19.6
09-05-2021,0.3,19.1
10-05-2021,0,21.8
11-05-2021,0.2,23.4
12-05-2021,0,23.2
13-05-2021,0.2,24.1
14-05-2021,0.2,21.4
15-05-2021,1.1,17.3
16-05-2021,2.3,15.4
17-05-2021,1.2,17
18-05-2021,1.5,22.7
19-05-2021,0.1,25.1
20-05-2021,0.2,21.2
21-05-2021,4.4,17.7
22-05-2021,4.7,17
23-05-2021,0,16
24-05-2021,0,15.2
25-05-2021,0,18
26-05-2021,0,28.5
27-05-2021,0,19.4
28-05-2021,0,16.7
29-05-2021,0,20.8
30-05-2021,0,18.4
31-05-2021,0.4,22.7
01-06-2021,0,20.3
02-06-2021,22.2,17.3
03-06-2021,0.5,18.9
04-06-2021,0.2,22
05-06-2021,0,21.1
06-06-2021,0,21.3
07-06-2021,0,21.7
08-06-2021,0,22.3
09-06-2021,0.9,23
10-06-2021,5.9,16.6
11-06-2021,3.6,20.8
12-06-2021,12.7,20.7
13-06-2021,1.1,21
14-06-2021,12.3,25.3
15-06-2021,0.9,22.6
16-06-2021,1.3,23.6
17-06-2021,12.2,24.9
18-06-2021,4.4,22.3
19-06-2021,0,22.9
20-06-2021,0,25.3
21-06-2021,0,16.7
22-06-2021,0.1,14.3
23-06-2021,6.2,24
24-06-2021,0,25.3
25-06-2021,0.7,16.5
26-06-2021,7,13
27-06-2021,8.7,18.8
28-06-2021,1.4,19.8
29-06-2021,0.5,24.1
30-06-2021,0.6,24
01-07-2021,2.6,27.3
02-07-2021,1.1,21.2
03-07-2021,0.2,19.1
04-07-2021,15.4,18.9
05-07-2021,11.9,14.3
06-07-2021,2.4,17.1
07-07-2021,6.7,20
08-07-2021,2.3,17.6
09-07-2021,2,19.5
10-07-2021,2.6,16.4
11-07-2021,9,15.4
12-07-2021,7.3,21.6
13-07-2021,8.3,16
14-07-2021,3.6,18.8
15-07-2021,6.3,20.8
16-07-2021,5.2,17.2
17-07-2021,1.4,12.8
18-07-2021,6.4,20.1
19-07-2021,3.9,18.6
20-07-2021,7.6,16.6
21-07-2021,14,21.3
22-07-2021,0.7,22.2
23-07-2021,2,26.2
24-07-2021,0.5,22.7
25-07-2021,0.6,23.7
26-07-2021,0.1,24.1
27-07-2021,0,20.8
28-07-2021,0.7,21.1
29-07-2021,1.7,20.3
30-07-2021,1.6,19.6
31-07-2021,0,21.9
01-08-2021,0.5,19.9
02-08-2021,0.3,23.3
03-08-2021,0,16.5
04-08-2021,0,18.7
05-08-2021,0.6,14
06-08-2021,1.5,15.6
07-08-2021,9.5,19.1
08-08-2021,0.3,22.6
09-08-2021,0,19.8
10-08-2021,2.9,20.7
11-08-2021,3.4,14.5
12-08-2021,5.6,13
13-08-2021,24.7,13.8
14-08-2021,16.5,12.3
15-08-2021,55.2,14.4
16-08-2021,10.2,11.4
17-08-2021,14.6,26
18-08-2021,0.2,25.7
19-08-2021,3.7,20.7
20-08-2021,6.9,21
21-08-2021,4.4,18.5
22-08-2021,0.1,18.8
23-08-2021,0.3,20.9
24-08-2021,0,23.7
25-08-2021,1.8,18.6
26-08-2021,3.6,19.4
27-08-2021,18.2,7.6
28-08-2021,11.7,17
29-08-2021,7.2,18.4
30-08-2021,8.6,11.8
31-08-2021,12.8,12.6
01-09-2021,1.8,14.3
02-09-2021,0.2,12.6
03-09-2021,1.1,13.8
04-09-2021,1.7,15.8
05-09-2021,22.9,10.5
06-09-2021,36.2,18
07-09-2021,3.9,24.8
08-09-2021,10.6,23
09-09-2021,2.7,17.7
10-09-2021,12.1,11.9
11-09-2021,5.5,15.6
12-09-2021,5.9,17.4
13-09-2021,5.2,26.7
14-09-2021,0.5,31.7
15-09-2021,1.8,23.6
