date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-01-01,0.0,19.2,Dhamra
2021-01-02,0.0,19.3,Dhamra
2021-01-03,0.0,17.1,Dhamra
2021-01-04,0.0,14.8,Dhamra
2021-01-05,0.0,13.9,Dhamra
2021-01-06,0.0,13.0,Dhamra
2021-01-07,0.0,13.8,Dhamra
2021-01-08,0.0,15.4,Dhamra
2021-01-09,0.0,11.8,Dhamra
2021-01-10,0.0,15.4,Dhamra
2021-01-11,0.0,13.4,Dhamra
2021-01-12,0.0,19.5,Dhamra
2021-01-13,2.2,21.1,Dhamra
2021-01-14,0.7,18.9,Dhamra
2021-01-15,0.0,16.6,Dhamra
2021-01-16,0.0,14.9,Dhamra
2021-01-17,0.0,21.1,Dhamra
2021-01-18,0.0,14.6,Dhamra
2021-01-19,0.0,22.0,Dhamra
2021-01-20,0.6,17.0,Dhamra
2021-01-21,0.0,20.0,Dhamra
2021-01-22,0.0,13.4,Dhamra
2021-01-23,0.0,15.9,Dhamra
2021-01-24,0.0,15.6,Dhamra
2021-01-25,0.7,16.0,Dhamra
2021-01-26,1.7,18.8,Dhamra
2021-01-27,0.0,19.0,Dhamra
2021-01-28,0.0,19.5,Dhamra
2021-01-29,0.0,14.5,Dhamra
2021-01-30,0.0,18.5,Dhamra
2021-01-31,0.0,23.2,Dhamra
2021-02-01,0.0,17.5,Dhamra
2021-02-02,0.0,15.6,Dhamra
2021-02-03,0.0,15.0,Dhamra
2021-02-04,0.0,13.8,Dhamra
2021-02-05,0.0,11.5,Dhamra
2021-02-06,0.0,14.6,Dhamra
2021-02-07,0.0,19.9,Dhamra
2021-02-08,0.0,16.3,Dhamra
2021-02-09,0.0,11.6,Dhamra
2021-02-10,0.0,19.9,Dhamra
2021-02-11,0.0,13.8,Dhamra
2021-02-12,0.0,17.0,Dhamra
2021-02-13,0.0,19.1,Dhamra
2021-02-14,0.0,22.5,Dhamra
2021-02-15,0.0,16.9,Dhamra
2021-02-16,0.0,18.6,Dhamra
2021-02-17,0.0,20.2,Dhamra
2021-02-18,0.0,15.3,Dhamra
2021-02-19,0.0,18.6,Dhamra
2021-02-20,0.0,20.1,Dhamra
2021-02-21,0.0,14.5,Dhamra
2021-02-22,0.0,17.1,Dhamra
2021-02-23,0.0,19.9,Dhamra
2021-02-24,0.0,14.3,Dhamra
2021-02-25,0.0,19.2,Dhamra
2021-02-26,0.0,20.8,Dhamra
2021-02-27,0.0,17.7,Dhamra
2021-02-28,0.0,24.5,Dhamra
2021-03-01,0.0,15.6,Dhamra
2021-03-02,0.0,22.6,Dhamra
2021-03-03,0.0,19.3,Dhamra
2021-03-04,0.0,17.9,Dhamra
2021-03-05,0.0,26.0,Dhamra
2021-03-06,0.0,21.1,Dhamra
2021-03-07,0.0,17.9,Dhamra
2021-03-08,0.0,22.6,Dhamra
2021-03-09,0.0,22.7,Dhamra
2021-03-10,0.0,25.6,Dhamra
2021-03-11,0.0,22.1,Dhamra
2021-03-12,0.0,18.9,Dhamra
2021-03-13,0.5,25.7,Dhamra
2021-03-14,0.0,19.1,Dhamra
2021-03-15,0.2,23.6,Dhamra
2021-03-16,0.0,17.9,Dhamra
2021-03-17,0.0,20.1,Dhamra
2021-03-18,0.0,21.3,Dhamra
2021-03-19,0.0,17.8,Dhamra
2021-03-20,0.0,17.1,Dhamra
2021-03-21,0.0,16.2,Dhamra
2021-03-22,0.0,16.8,Dhamra
2021-03-23,0.0,16.7,Dhamra
2021-03-24,0.0,14.8,Dhamra
2021-03-25,0.0,20.2,Dhamra
2021-03-26,0.0,16.5,Dhamra
2021-03-27,0.0,15.2,Dhamra
2021-03-28,0.4,22.9,Dhamra
2021-03-29,0.0,22.4,Dhamra
2021-03-30,0.0,27.4,Dhamra
2021-03-31,0.0,23.7,Dhamra
2021-04-01,0.0,26.9,Dhamra
2021-04-02,0.0,24.2,Dhamra
2021-04-03,0.0,21.3,Dhamra
2021-04-04,0.0,16.8,Dhamra
2021-04-05,0.0,20.2,Dhamra
2021-04-06,0.0,26.0,Dhamra
2021-04-07,0.0,28.4,Dhamra
2021-04-08,0.0,31.1,Dhamra
2021-04-09,2.2,21.8,Dhamra
2021-04-10,0.1,16.3,Dhamra
2021-04-11,0.0,22.3,Dhamra
2021-04-12,0.0,17.2,Dhamra
2021-04-13,0.0,18.0,Dhamra
2021-04-14,0.0,23.8,Dhamra
2021-04-15,0.0,23.8,Dhamra
2021-04-16,0.0,17.2,Dhamra
2021-04-17,0.2,26.8,Dhamra
2021-04-18,0.8,25.6,Dhamra
2021-04-19,2.0,20.5,Dhamra
2021-04-20,0.0,23.1,Dhamra
2021-04-21,0.0,27.0,Dhamra
2021-04-22,0.1,16.6,Dhamra
2021-04-23,1.2,14.1,Dhamra
2021-04-24,0.0,18.7,Dhamra
2021-04-25,0.0,22.1,Dhamra
2021-04-26,0.0,24.2,Dhamra
2021-04-27,0.0,26.9,Dhamra
2021-04-28,0.0,25.8,Dhamra
2021-04-29,0.0,23.9,Dhamra
2021-04-30,0.0,23.8,Dhamra
2021-05-01,0.0,27.8,Dhamra
2021-05-02,0.7,24.5,Dhamra
2021-05-03,2.3,16.8,Dhamra
2021-05-04,3.2,20.8,Dhamra
2021-05-05,7.2,21.1,Dhamra
2021-05-06,0.0,23.2,Dhamra
2021-05-07,2.6,26.7,Dhamra
2021-05-08,0.9,20.9,Dhamra
2021-05-09,0.3,24.3,Dhamra
2021-05-10,4.1,21.8,Dhamra
2021-05-11,7.2,18.3,Dhamra
2021-05-12,0.5,21.3,Dhamra
2021-05-13,5.9,21.3,Dhamra
2021-05-14,0.3,21.7,Dhamra
2021-05-15,1.6,21.7,Dhamra
2021-05-16,0.2,25.3,Dhamra
2021-05-17,0.0,28.5,Dhamra
2021-05-18,0.0,27.8,Dhamra
2021-05-19,0.0,31.3,Dhamra
2021-05-20,0.0,27.6,Dhamra
2021-05-21,1.6,28.9,Dhamra
2021-05-22,1.5,17.2,Dhamra
2021-05-23,0.4,16.0,Dhamra
2021-05-24,27.0,32.4,Dhamra
2021-05-25,69.4,63.7,Dhamra
2021-05-26,161.1,64.0,Dhamra
2021-05-27,5.6,34.7,Dhamra
2021-05-28,0.0,27.0,Dhamra
2021-05-29,0.2,21.6,Dhamra
2021-05-30,0.4,23.4,Dhamra
2021-05-31,0.1,25.6,Dhamra
2021-06-01,0.1,22.7,Dhamra
2021-06-02,16.1,17.7,Dhamra
2021-06-03,2.1,17.6,Dhamra
2021-06-04,0.4,19.5,Dhamra
2021-06-05,0.3,19.6,Dhamra
