date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-01-01,0.0,21.7,Gangavaram
2021-01-02,0.0,17.9,Gangavaram
2021-01-03,0.0,19.8,Gangavaram
2021-01-04,0.0,19.9,Gangavaram
2021-01-05,0.0,22.0,Gangavaram
2021-01-06,0.0,18.3,Gangavaram
2021-01-07,0.0,12.3,Gangavaram
2021-01-08,0.0,16.3,Gangavaram
2021-01-09,0.0,16.6,Gangavaram
2021-01-10,0.0,13.0,Gangavaram
2021-01-11,0.0,16.3,Gangavaram
2021-01-12,0.0,16.3,Gangavaram
2021-01-13,0.0,16.6,Gangavaram
2021-01-14,0.0,18.9,Gangavaram
2021-01-15,0.6,18.5,Gangavaram
2021-01-16,0.0,19.4,Gangavaram
2021-01-17,1.1,17.0,Gangavaram
2021-01-18,1.6,18.4,Gangavaram
2021-01-19,0.0,15.7,Gangavaram
2021-01-20,0.0,19.5,Gangavaram
2021-01-21,0.0,19.1,Gangavaram
2021-01-22,0.2,17.1,Gangavaram
2021-01-23,0.0,18.9,Gangavaram
2021-01-24,0.0,20.0,Gangavaram
2021-01-25,0.0,19.4,Gangavaram
2021-01-26,0.0,19.6,Gangavaram
2021-01-27,0.1,14.3,Gangavaram
2021-01-28,1.3,17.3,Gangavaram
2021-01-29,1.9,13.3,Gangavaram
2021-01-30,0.0,16.6,Gangavaram
2021-01-31,4.4,16.7,Gangavaram
2021-02-01,1.0,19.2,Gangavaram
2021-02-02,0.0,20.3,Gangavaram
2021-02-03,0.0,21.4,Gangavaram
2021-02-04,0.0,18.1,Gangavaram
2021-02-05,0.0,19.4,Gangavaram
2021-02-06,0.0,21.7,Gangavaram
2021-02-07,0.0,22.7,Gangavaram
2021-02-08,0.0,22.0,Gangavaram
2021-02-09,0.0,19.8,Gangavaram
2021-02-10,0.0,16.5,Gangavaram
2021-02-11,0.0,17.0,Gangavaram
2021-02-12,0.0,17.8,Gangavaram
2021-02-13,0.0,19.1,Gangavaram
2021-02-14,0.0,20.1,Gangavaram
2021-02-15,0.0,22.7,Gangavaram
2021-02-16,0.0,21.4,Gangavaram
2021-02-17,0.0,17.0,Gangavaram
2021-02-18,0.1,17.7,Gangavaram
2021-02-19,0.0,21.4,Gangavaram
2021-02-20,1.9,25.3,Gangavaram
2021-02-21,0.0,20.7,Gangavaram
2021-02-22,0.0,20.9,Gangavaram
2021-02-23,0.0,17.9,Gangavaram
2021-02-24,0.0,22.0,Gangavaram
2021-02-25,0.0,23.5,Gangavaram
2021-02-26,0.0,22.4,Gangavaram
2021-02-27,0.0,20.9,Gangavaram
2021-02-28,0.0,21.0,Gangavaram
2021-03-01,0.0,23.0,Gangavaram
2021-03-02,0.0,24.3,Gangavaram
2021-03-03,0.0,19.1,Gangavaram
2021-03-04,0.0,20.9,Gangavaram
2021-03-05,0.0,24.7,Gangavaram
2021-03-06,0.0,27.1,Gangavaram
2021-03-07,0.0,21.7,Gangavaram
2021-03-08,0.0,19.1,Gangavaram
2021-03-09,0.0,20.4,Gangavaram
2021-03-10,0.0,21.7,Gangavaram
2021-03-11,0.0,25.1,Gangavaram
2021-03-12,0.0,18.2,Gangavaram
2021-03-13,0.0,17.6,Gangavaram
2021-03-14,0.0,16.7,Gangavaram
2021-03-15,0.0,13.3,Gangavaram
2021-03-16,0.0,21.7,Gangavaram
2021-03-17,0.0,21.6,Gangavaram
2021-03-18,0.0,19.1,Gangavaram
2021-03-19,0.0,20.2,Gangavaram
2021-03-20,0.0,20.6,Gangavaram
2021-03-21,0.0,17.2,Gangavaram
2021-03-22,0.0,16.7,Gangavaram
2021-03-23,0.0,19.8,Gangavaram
2021-03-24,0.0,17.7,Gangavaram
2021-03-25,0.0,17.4,Gangavaram
2021-03-26,0.0,19.5,Gangavaram
2021-03-27,0.0,18.8,Gangavaram
2021-03-28,0.0,21.2,Gangavaram
2021-03-29,0.0,30.1,Gangavaram
2021-03-30,0.0,31.4,Gangavaram
2021-03-31,0.0,33.5,Gangavaram
2021-04-01,0.0,30.6,Gangavaram
2021-04-02,0.0,23.3,Gangavaram
2021-04-03,0.9,17.0,Gangavaram
2021-04-04,0.0,18.4,Gangavaram
2021-04-05,0.2,16.9,Gangavaram
2021-04-06,0.0,19.2,Gangavaram
2021-04-07,0.0,22.5,Gangavaram
2021-04-08,0.0,24.4,Gangavaram
2021-04-09,0.2,21.8,Gangavaram
2021-04-10,0.1,18.5,Gangavaram
2021-04-11,0.0,20.3,Gangavaram
2021-04-12,0.0,19.7,Gangavaram
2021-04-13,0.0,17.9,Gangavaram
2021-04-14,0.0,21.3,Gangavaram
2021-04-15,0.0,21.0,Gangavaram
2021-04-16,0.0,19.0,Gangavaram
2021-04-17,0.0,21.7,Gangavaram
2021-04-18,0.0,22.7,Gangavaram
2021-04-19,0.0,25.1,Gangavaram
2021-04-20,0.6,23.0,Gangavaram
2021-04-21,0.0,25.0,Gangavaram
2021-04-22,0.0,24.4,Gangavaram
2021-04-23,0.1,23.8,Gangavaram
2021-04-24,0.0,18.2,Gangavaram
2021-04-25,0.0,22.7,Gangavaram
2021-04-26,0.0,23.4,Gangavaram
2021-04-27,0.0,24.7,Gangavaram
2021-04-28,0.0,23.7,Gangavaram
2021-04-29,0.4,21.3,Gangavaram
2021-04-30,0.9,20.2,Gangavaram
2021-05-01,0.2,21.4,Gangavaram
2021-05-02,0.0,22.3,Gangavaram
2021-05-03,0.4,18.7,Gangavaram
2021-05-04,0.0,22.8,Gangavaram
2021-05-05,0.0,21.4,Gangavaram
2021-05-06,0.0,21.2,Gangavaram
2021-05-07,0.1,20.3,Gangavaram
2021-05-08,0.3,21.3,Gangavaram
2021-05-09,0.2,19.5,Gangavaram
2021-05-10,0.0,23.8,Gangavaram
2021-05-11,0.0,27.7,Gangavaram
2021-05-12,0.0,28.6,Gangavaram
2021-05-13,0.3,27.2,Gangavaram
2021-05-14,0.6,24.3,Gangavaram
2021-05-15,1.3,17.7,Gangavaram
2021-05-16,1.9,14.8,Gangavaram
2021-05-17,2.1,18.4,Gangavaram
2021-05-18,1.6,24.3,Gangavaram
2021-05-19,0.3,27.4,Gangavaram
2021-05-20,0.6,24.4,Gangavaram
2021-05-21,7.8,22.5,Gangavaram
2021-05-22,5.7,18.1,Gangavaram
2021-05-23,0.0,18.1,Gangavaram
2021-05-24,0.0,21.7,Gangavaram
2021-05-25,0.0,22.2,Gangavaram
2021-05-26,0.0,27.8,Gangavaram
2021-05-27,0.0,26.6,Gangavaram
