date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-01-01,0.0,15.9,Gopalpur
2021-01-02,0.0,12.6,Gopalpur
2021-01-03,0.0,14.8,Gopalpur
2021-01-04,0.0,14.9,Gopalpur
2021-01-05,0.0,14.4,Gopalpur
2021-01-06,0.0,11.0,Gopalpur
2021-01-07,0.0,11.7,Gopalpur
2021-01-08,0.0,12.4,Gopalpur
2021-01-09,0.0,12.7,Gopalpur
2021-01-10,0.0,12.7,Gopalpur
2021-01-11,0.0,11.5,Gopalpur
2021-01-12,0.0,13.8,Gopalpur
2021-01-13,0.0,16.2,Gopalpur
2021-01-14,0.0,22.2,Gopalpur
2021-01-15,0.1,16.8,Gopalpur
2021-01-16,0.0,17.3,Gopalpur
2021-01-17,0.0,18.7,Gopalpur
2021-01-18,0.0,17.6,Gopalpur
2021-01-19,0.0,17.1,Gopalpur
2021-01-20,0.0,22.7,Gopalpur
2021-01-21,0.0,21.6,Gopalpur
2021-01-22,0.0,16.2,Gopalpur
2021-01-23,0.0,16.2,Gopalpur
2021-01-24,0.0,17.3,Gopalpur
2021-01-25,0.0,18.8,Gopalpur
2021-01-26,0.0,16.9,Gopalpur
2021-01-27,1.2,14.9,Gopalpur
2021-01-28,1.6,16.7,Gopalpur
2021-01-29,0.0,15.6,Gopalpur
2021-01-30,0.2,13.7,Gopalpur
2021-01-31,0.6,18.1,Gopalpur
2021-02-01,0.0,19.5,Gopalpur
2021-02-02,0.0,17.2,Gopalpur
2021-02-03,0.0,16.9,Gopalpur
2021-02-04,0.0,15.1,Gopalpur
2021-02-05,0.0,14.1,Gopalpur
2021-02-06,0.0,18.8,Gopalpur
2021-02-07,0.0,19.1,Gopalpur
2021-02-08,0.0,19.7,Gopalpur
2021-02-09,0.0,15.7,Gopalpur
2021-02-10,0.0,18.5,Gopalpur
2021-02-11,0.0,20.3,Gopalpur
2021-02-12,0.0,16.5,Gopalpur
2021-02-13,0.0,21.2,Gopalpur
2021-02-14,0.0,24.1,Gopalpur
2021-02-15,0.0,19.2,Gopalpur
2021-02-16,0.0,19.5,Gopalpur
2021-02-17,0.0,19.3,Gopalpur
2021-02-18,0.0,15.6,Gopalpur
2021-02-19,0.0,17.1,Gopalpur
2021-02-20,0.2,17.7,Gopalpur
2021-02-21,0.0,15.5,Gopalpur
2021-02-22,0.0,17.9,Gopalpur
2021-02-23,0.0,19.9,Gopalpur
2021-02-24,0.0,20.4,Gopalpur
2021-02-25,0.0,20.2,Gopalpur
2021-02-26,0.0,22.8,Gopalpur
2021-02-27,0.0,22.4,Gopalpur
2021-02-28,0.0,21.0,Gopalpur
2021-03-01,0.0,22.0,Gopalpur
2021-03-02,0.0,22.3,Gopalpur
2021-03-03,0.0,22.1,Gopalpur
2021-03-04,0.0,18.9,Gopalpur
2021-03-05,0.0,28.8,Gopalpur
2021-03-06,0.0,24.1,Gopalpur
2021-03-07,0.0,21.3,Gopalpur
2021-03-08,0.0,20.5,Gopalpur
2021-03-09,0.0,25.6,Gopalpur
2021-03-10,0.0,23.9,Gopalpur
2021-03-11,0.0,22.0,Gopalpur
2021-03-12,0.0,21.3,Gopalpur
2021-03-13,0.0,18.0,Gopalpur
2021-03-14,0.0,17.1,Gopalpur
2021-03-15,0.0,18.2,Gopalpur
2021-03-16,0.0,21.0,Gopalpur
2021-03-17,0.0,20.9,Gopalpur
2021-03-18,0.0,21.0,Gopalpur
2021-03-19,0.0,23.8,Gopalpur
2021-03-20,0.0,21.1,Gopalpur
2021-03-21,0.0,19.1,Gopalpur
2021-03-22,0.0,17.7,Gopalpur
2021-03-23,0.0,16.5,Gopalpur
2021-03-24,0.0,20.4,Gopalpur
2021-03-25,0.0,17.4,Gopalpur
2021-03-26,0.0,17.7,Gopalpur
2021-03-27,0.0,16.3,Gopalpur
2021-03-28,0.0,22.0,Gopalpur
2021-03-29,0.0,32.0,Gopalpur
2021-03-30,0.0,34.4,Gopalpur
2021-03-31,0.0,30.3,Gopalpur
2021-04-01,0.0,27.8,Gopalpur
2021-04-02,0.1,22.2,Gopalpur
2021-04-03,1.1,20.6,Gopalpur
2021-04-04,0.0,19.2,Gopalpur
2021-04-05,0.0,17.2,Gopalpur
2021-04-06,0.0,25.3,Gopalpur
2021-04-07,0.0,29.3,Gopalpur
2021-04-08,0.0,33.7,Gopalpur
2021-04-09,0.0,23.5,Gopalpur
2021-04-10,0.0,20.2,Gopalpur
2021-04-11,0.0,20.9,Gopalpur
2021-04-12,0.0,19.6,Gopalpur
2021-04-13,0.0,19.4,Gopalpur
2021-04-14,0.0,20.9,Gopalpur
2021-04-15,0.0,21.6,Gopalpur
2021-04-16,0.0,20.9,Gopalpur
2021-04-17,0.0,23.8,Gopalpur
2021-04-18,0.0,25.7,Gopalpur
2021-04-19,0.0,23.2,Gopalpur
2021-04-20,0.0,30.6,Gopalpur
2021-04-21,0.0,29.2,Gopalpur
2021-04-22,0.0,22.6,Gopalpur
2021-04-23,0.0,14.5,Gopalpur
2021-04-24,0.0,18.2,Gopalpur
2021-04-25,0.0,24.8,Gopalpur
2021-04-26,0.0,26.9,Gopalpur
2021-04-27,0.0,26.5,Gopalpur
2021-04-28,0.0,24.8,Gopalpur
2021-04-29,0.0,25.5,Gopalpur
2021-04-30,0.0,26.0,Gopalpur
2021-05-01,0.0,27.6,Gopalpur
2021-05-02,0.5,24.1,Gopalpur
2021-05-03,0.0,20.2,Gopalpur
2021-05-04,5.3,19.6,Gopalpur
2021-05-05,0.4,25.9,Gopalpur
2021-05-06,0.0,22.7,Gopalpur
2021-05-07,0.0,27.0,Gopalpur
2021-05-08,0.0,20.3,Gopalpur
2021-05-09,0.0,26.5,Gopalpur
2021-05-10,0.0,23.1,Gopalpur
2021-05-11,8.6,27.1,Gopalpur
2021-05-12,0.0,27.0,Gopalpur
2021-05-13,0.0,34.1,Gopalpur
2021-05-14,0.0,32.8,Gopalpur
2021-05-15,0.0,30.2,Gopalpur
2021-05-16,0.0,23.4,Gopalpur
2021-05-17,0.0,26.2,Gopalpur
2021-05-18,0.0,35.0,Gopalpur
2021-05-19,0.0,36.1,Gopalpur
2021-05-20,0.0,34.1,Gopalpur
2021-05-21,0.7,24.5,Gopalpur
2021-05-22,7.9,16.1,Gopalpur
2021-05-23,0.0,15.5,Gopalpur
2021-05-24,1.3,25.6,Gopalpur
2021-05-25,24.6,32.3,Gopalpur
2021-05-26,4.0,28.0,Gopalpur
2021-05-27,0.0,20.6,Gopalpur
2021-05-28,0.0,20.9,Gopalpur
2021-05-29,0.0,24.9,Gopalpur
2021-05-30,0.0,27.0,Gopalpur
2021-05-31,0.0,26.9,Gopalpur
2021-06-01,0.0,22.9,Gopalpur
2021-06-02,0.6,23.5,Gopalpur
2021-06-03,1.6,24.7,Gopalpur
2021-06-04,0.1,26.2,Gopalpur
2021-06-05,0.0,26.6,Gopalpur
2021-06-06,0.0,26.3,Gopalpur
2021-06-07,0.0,26.9,Gopalpur
2021-06-08,1.4,24.6,Gopalpur
2021-06-09,12.1,17.4,Gopalpur
2021-06-10,7.7,17.3,Gopalpur
2021-06-11,3.2,19.7,Gopalpur
2021-06-12,1.4,16.2,Gopalpur
2021-06-13,8.6,18.5,Gopalpur
2021-06-14,0.9,22.7,Gopalpur
2021-06-15,0.1,22.8,Gopalpur
2021-06-16,1.4,21.1,Gopalpur
2021-06-17,1.3,23.2,Gopalpur
2021-06-18,9.0,21.6,Gopalpur
2021-06-19,0.3,25.3,Gopalpur
2021-06-20,0.2,22.3,Gopalpur
2021-06-21,0.4,20.0,Gopalpur
2021-06-22,0.7,20.0,Gopalpur
2021-06-23,14.1,22.5,Gopalpur
2021-06-24,2.9,26.9,Gopalpur
2021-06-25,0.3,20.6,Gopalpur
2021-06-26,0.8,16.9,Gopalpur
2021-06-27,6.7,23.0,Gopalpur
2021-06-28,0.3,26.5,Gopalpur
2021-06-29,0.2,29.8,Gopalpur
2021-06-30,0.1,31.9,Gopalpur
2021-07-01,0.0,30.8,Gopalpur
2021-07-02,11.0,24.2,Gopalpur
2021-07-03,0.1,15.5,Gopalpur
2021-07-04,4.8,18.6,Gopalpur
2021-07-05,2.7,13.4,Gopalpur
2021-07-06,3.0,24.6,Gopalpur
2021-07-07,0.2,24.6,Gopalpur
2021-07-08,6.4,15.8,Gopalpur
2021-07-09,2.3,19.3,Gopalpur
2021-07-10,7.8,17.9,Gopalpur
2021-07-11,6.5,19.6,Gopalpur
2021-07-12,4.4,20.1,Gopalpur
2021-07-13,22.6,17.0,Gopalpur
2021-07-14,6.7,21.7,Gopalpur
2021-07-15,5.9,20.2,Gopalpur
2021-07-16,3.0,20.9,Gopalpur
2021-07-17,0.0,21.5,Gopalpur
2021-07-18,0.0,28.8,Gopalpur
2021-07-19,0.1,25.6,Gopalpur
2021-07-20,18.3,11.2,Gopalpur
2021-07-21,5.2,20.6,Gopalpur
2021-07-22,19.0,16.2,Gopalpur
2021-07-23,6.2,26.0,Gopalpur
2021-07-24,1.9,25.5,Gopalpur
2021-07-25,1.1,25.3,Gopalpur
2021-07-26,0.0,22.6,Gopalpur
2021-07-27,1.8,15.2,Gopalpur
2021-07-28,4.5,18.0,Gopalpur
2021-07-29,35.7,17.5,Gopalpur
2021-07-30,3.0,20.4,Gopalpur
2021-07-31,0.5,24.0,Gopalpur
2021-08-01,0.6,21.4,Gopalpur
2021-08-02,1.2,23.4,Gopalpur
2021-08-03,0.1,18.9,Gopalpur
2021-08-04,0.2,17.3,Gopalpur
2021-08-05,3.3,15.5,Gopalpur
2021-08-06,6.2,18.8,Gopalpur
2021-08-07,0.6,25.9,Gopalpur
2021-08-08,0.5,26.1,Gopalpur
2021-08-09,0.1,25.7,Gopalpur
2021-08-10,0.1,22.9,Gopalpur
2021-08-11,0.8,18.4,Gopalpur
2021-08-12,3.7,17.3,Gopalpur
2021-08-13,5.4,13.0,Gopalpur
2021-08-14,14.7,14.5,Gopalpur
2021-08-15,35.2,11.5,Gopalpur
2021-08-16,8.2,16.6,Gopalpur
2021-08-17,7.5,24.2,Gopalpur
2021-08-18,1.5,29.2,Gopalpur
2021-08-19,1.0,28.8,Gopalpur
2021-08-20,2.8,29.6,Gopalpur
2021-08-21,1.7,24.6,Gopalpur
2021-08-22,0.2,24.5,Gopalpur
2021-08-23,0.1,24.9,Gopalpur
2021-08-24,0.8,24.3,Gopalpur
2021-08-25,4.0,19.0,Gopalpur
2021-08-26,1.7,17.6,Gopalpur
2021-08-27,68.4,14.3,Gopalpur
2021-08-28,34.2,23.5,Gopalpur
2021-08-29,9.8,25.4,Gopalpur
2021-08-30,12.5,17.3,Gopalpur
2021-08-31,8.6,21.3,Gopalpur
2021-09-01,1.9,14.7,Gopalpur
2021-09-02,1.6,16.6,Gopalpur
2021-09-03,3.8,14.7,Gopalpur
2021-09-04,0.7,13.1,Gopalpur
2021-09-05,34.2,16.1,Gopalpur
2021-09-06,25.1,23.2,Gopalpur
2021-09-07,17.1,29.6,Gopalpur
2021-09-08,1.4,25.2,Gopalpur
2021-09-09,9.5,9.7,Gopalpur
2021-09-10,12.6,12.6,Gopalpur
2021-09-11,10.6,14.2,Gopalpur
2021-09-12,57.2,16.6,Gopalpur
2021-09-13,44.2,28.5,Gopalpur
2021-09-14,2.3,36.0,Gopalpur
2021-09-15,2.5,29.5,Gopalpur
2021-09-16,0.8,15.6,Gopalpur
2021-09-17,0.1,12.8,Gopalpur
2021-09-18,1.5,11.4,Gopalpur
2021-09-19,10.0,9.5,Gopalpur
2021-09-20,4.1,12.7,Gopalpur
2021-09-21,2.7,13.9,Gopalpur
2021-09-22,4.7,12.6,Gopalpur
2021-09-23,1.8,20.9,Gopalpur
2021-09-24,3.0,14.0,Gopalpur
2021-09-25,0.5,12.9,Gopalpur
2021-09-26,44.5,42.7,Gopalpur
2021-09-27,23.7,26.8,Gopalpur
2021-09-28,17.6,15.5,Gopalpur
2021-09-29,1.5,19.7,Gopalpur
2021-09-30,1.0,16.7,Gopalpur
2021-10-01,1.0,15.4,Gopalpur
2021-10-02,0.4,18.4,Gopalpur
2021-10-03,0.0,21.8,Gopalpur
