date,precipitation_sum_mm,wind_speed_max_kmh,port
01-01-2021,0,17.3,Paradip
02-01-2021,0,14.6,Paradip
03-01-2021,0,16.6,Paradip
04-01-2021,0,13.7,Paradip
05-01-2021,0,13.6,Paradip
06-01-2021,0,10.2,Paradip
07-01-2021,0,9.8,Paradip
08-01-2021,0,14,Paradip
09-01-2021,0,11.7,Paradip
10-01-2021,0,11.6,Paradip
11-01-2021,0,11.2,Paradip
12-01-2021,0,13.8,Paradip
13-01-2021,1,17.2,Paradip
14-01-2021,0,18.6,Paradip
15-01-2021,0.1,13.6,Paradip
16-01-2021,0,13.7,Paradip
17-01-2021,0,18.9,Paradip
18-01-2021,0,11.4,Paradip
19-01-2021,0,19.6,Paradip
20-01-2021,0,21.6,Paradip
21-01-2021,0,19.4,Paradip
22-01-2021,0,12.4,Paradip
23-01-2021,0,15,Paradip
24-01-2021,0,13.8,Paradip
25-01-2021,0.4,16.6,Paradip
26-01-2021,1.4,18.7,Paradip
27-01-2021,0.1,17.9,Paradip
28-01-2021,0,16.8,Paradip
29-01-2021,0,14.1,Paradip
30-01-2021,0,18.9,Paradip
31-01-2021,0.1,20.7,Paradip
01-02-2021,0,15.4,Paradip
02-02-2021,0,13.7,Paradip
03-02-2021,0,14.2,Paradip
04-02-2021,0,12.5,Paradip
05-02-2021,0,10.1,Paradip
06-02-2021,0,13.2,Paradip
07-02-2021,0,18.9,Paradip
08-02-2021,0,17,Paradip
09-02-2021,0,11,Paradip
10-02-2021,0,15.5,Paradip
11-02-2021,0,16.7,Paradip
12-02-2021,0,15.6,Paradip
13-02-2021,0,18,Paradip
14-02-2021,0,20,Paradip
15-02-2021,0,16.2,Paradip
16-02-2021,0,14.6,Paradip
17-02-2021,0,16.5,Paradip
18-02-2021,0,15.5,Paradip
19-02-2021,0,17.7,Paradip
20-02-2021,0.8,16.7,Paradip
21-02-2021,0,15.9,Paradip
22-02-2021,0,16,Paradip
23-02-2021,0,20.2,Paradip
24-02-2021,0,13.5,Paradip
25-02-2021,0,17.6,Paradip
26-02-2021,0,22.9,Paradip
27-02-2021,0,17.5,Paradip
28-02-2021,0,20.5,Paradip
01-03-2021,0,23.7,Paradip
02-03-2021,0,20.5,Paradip
03-03-2021,0,18.1,Paradip
04-03-2021,0,16.4,Paradip
05-03-2021,0,26.7,Paradip
06-03-2021,0,24.4,Paradip
07-03-2021,0,17.7,Paradip
08-03-2021,0,21.9,Paradip
09-03-2021,0,24.1,Paradip
10-03-2021,0,27.3,Paradip
11-03-2021,0,22.6,Paradip
12-03-2021,0,18.5,Paradip
13-03-2021,0,16.4,Paradip
14-03-2021,0.1,14.7,Paradip
15-03-2021,0,21.3,Paradip
16-03-2021,0,17.7,Paradip
17-03-2021,0,18.1,Paradip
18-03-2021,0,20.2,Paradip
19-03-2021,0,20.5,Paradip
20-03-2021,0,15.5,Paradip
21-03-2021,0,13,Paradip
22-03-2021,0,15.2,Paradip
23-03-2021,0,12.2,Paradip
24-03-2021,0,13,Paradip
25-03-2021,0,18.5,Paradip
26-03-2021,0,15.1,Paradip
27-03-2021,0,13.2,Paradip
28-03-2021,0,24.4,Paradip
29-03-2021,0,26,Paradip
30-03-2021,0,30.4,Paradip
31-03-2021,0,28.3,Paradip
01-04-2021,0,24.2,Paradip
02-04-2021,0,23.1,Paradip
03-04-2021,0,20.2,Paradip
04-04-2021,0,14.6,Paradip
05-04-2021,0,15.4,Paradip
06-04-2021,0,22.5,Paradip
07-04-2021,0,25.4,Paradip
08-04-2021,0,31.2,Paradip
09-04-2021,0,23.6,Paradip
10-04-2021,0,19.6,Paradip
11-04-2021,0,21.3,Paradip
12-04-2021,0,19.9,Paradip
13-04-2021,0,20.8,Paradip
14-04-2021,0,22.6,Paradip
15-04-2021,0,26.3,Paradip
16-04-2021,0,21.2,Paradip
17-04-2021,0,22.5,Paradip
18-04-2021,0,25.2,Paradip
19-04-2021,0.1,24.4,Paradip
20-04-2021,0,27,Paradip
21-04-2021,0,26.7,Paradip
22-04-2021,0,26.3,Paradip
23-04-2021,0,17,Paradip
24-04-2021,0,20.6,Paradip
25-04-2021,0,23.1,Paradip
26-04-2021,0,27.4,Paradip
27-04-2021,0,27,Paradip
28-04-2021,0,24.3,Paradip
29-04-2021,0,21.4,Paradip
30-04-2021,0.1,24.5,Paradip
01-05-2021,0,27.6,Paradip
