date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-01-01,0.0,16.7,Sagar-Sandheads
2021-01-02,0.0,12.3,Sagar-Sandheads
2021-01-03,0.0,13.6,Sagar-Sandheads
2021-01-04,0.0,12.7,Sagar-Sandheads
2021-01-05,0.0,9.8,Sagar-Sandheads
2021-01-06,0.0,9.2,Sagar-Sandheads
2021-01-07,0.0,10.7,Sagar-Sandheads
2021-01-08,0.0,15.2,Sagar-Sandheads
2021-01-09,0.0,10.1,Sagar-Sandheads
2021-01-10,0.0,12.2,Sagar-Sandheads
2021-01-11,0.0,11.0,Sagar-Sandheads
2021-01-12,0.0,13.4,Sagar-Sandheads
2021-01-13,0.0,16.5,Sagar-Sandheads
2021-01-14,0.1,16.2,Sagar-Sandheads
2021-01-15,0.0,12.6,Sagar-Sandheads
2021-01-16,0.0,11.2,Sagar-Sandheads
2021-01-17,0.0,13.3,Sagar-Sandheads
2021-01-18,0.0,10.5,Sagar-Sandheads
2021-01-19,0.0,14.5,Sagar-Sandheads
2021-01-20,0.1,23.3,Sagar-Sandheads
2021-01-21,0.0,17.9,Sagar-Sandheads
2021-01-22,0.0,9.8,Sagar-Sandheads
2021-01-23,0.0,11.0,Sagar-Sandheads
2021-01-24,0.1,12.6,Sagar-Sandheads
2021-01-25,0.3,11.4,Sagar-Sandheads
2021-01-26,0.2,14.8,Sagar-Sandheads
2021-01-27,0.0,14.9,Sagar-Sandheads
2021-01-28,0.0,17.0,Sagar-Sandheads
2021-01-29,0.0,13.4,Sagar-Sandheads
2021-01-30,0.0,16.2,Sagar-Sandheads
2021-01-31,0.0,19.7,Sagar-Sandheads
2021-02-01,0.0,11.1,Sagar-Sandheads
2021-02-02,0.0,12.6,Sagar-Sandheads
2021-02-03,0.0,8.5,Sagar-Sandheads
2021-02-04,0.0,11.1,Sagar-Sandheads
2021-02-05,0.0,12.3,Sagar-Sandheads
2021-02-06,0.0,10.5,Sagar-Sandheads
2021-02-07,0.0,16.6,Sagar-Sandheads
2021-02-08,0.0,14.6,Sagar-Sandheads
2021-02-09,0.0,10.5,Sagar-Sandheads
2021-02-10,0.0,12.6,Sagar-Sandheads
2021-02-11,0.0,17.0,Sagar-Sandheads
2021-02-12,0.0,17.1,Sagar-Sandheads
2021-02-13,0.0,14.3,Sagar-Sandheads
2021-02-14,0.0,15.5,Sagar-Sandheads
2021-02-15,0.0,13.3,Sagar-Sandheads
2021-02-16,0.0,14.4,Sagar-Sandheads
2021-02-17,0.0,15.5,Sagar-Sandheads
2021-02-18,0.0,10.8,Sagar-Sandheads
2021-02-19,0.0,11.3,Sagar-Sandheads
2021-02-20,0.0,15.9,Sagar-Sandheads
2021-02-21,0.0,15.9,Sagar-Sandheads
2021-02-22,0.0,17.0,Sagar-Sandheads
2021-02-23,0.0,14.1,Sagar-Sandheads
2021-02-24,0.0,12.5,Sagar-Sandheads
2021-02-25,0.0,15.3,Sagar-Sandheads
2021-02-26,0.0,17.3,Sagar-Sandheads
2021-02-27,0.0,14.7,Sagar-Sandheads
2021-02-28,0.0,17.3,Sagar-Sandheads
2021-03-01,0.0,21.4,Sagar-Sandheads
2021-03-02,0.0,15.9,Sagar-Sandheads
2021-03-03,0.2,17.3,Sagar-Sandheads
2021-03-04,0.0,17.0,Sagar-Sandheads
2021-03-05,0.0,31.9,Sagar-Sandheads
2021-03-06,0.0,32.3,Sagar-Sandheads
2021-03-07,0.0,14.0,Sagar-Sandheads
2021-03-08,0.0,19.1,Sagar-Sandheads
2021-03-09,0.0,26.2,Sagar-Sandheads
2021-03-10,0.0,23.8,Sagar-Sandheads
2021-03-11,0.0,16.7,Sagar-Sandheads
2021-03-12,0.0,14.7,Sagar-Sandheads
2021-03-13,2.4,25.8,Sagar-Sandheads
2021-03-14,0.0,16.3,Sagar-Sandheads
2021-03-15,0.0,16.0,Sagar-Sandheads
2021-03-16,0.0,16.8,Sagar-Sandheads
2021-03-17,0.0,16.6,Sagar-Sandheads
2021-03-18,0.0,19.1,Sagar-Sandheads
2021-03-19,0.0,16.0,Sagar-Sandheads
2021-03-20,0.0,15.3,Sagar-Sandheads
2021-03-21,0.0,16.5,Sagar-Sandheads
2021-03-22,0.0,14.4,Sagar-Sandheads
2021-03-23,0.0,11.9,Sagar-Sandheads
2021-03-24,0.0,15.0,Sagar-Sandheads
